Subbasin ID,HRU ID,Cell Count,HRU Area (m²),HRU Area (acres),SWAT ID,MUKEY ID,Slope Class
1,158,2140,214000,52.88,41,286284,2
1,159,1467,146700,36.25,41,286284,3
1,160,1250,125000,30.89,41,286226,4
1,161,5,500,0.12,19,286255,2
1,162,1,100,0.02,19,286255,1
1,163,6,600,0.15,19,286254,1
1,164,1682,168200,41.56,41,286284,1
1,165,59,5900,1.46,41,286307,4
1,166,430,43000,10.63,21,286226,2
1,167,329,32900,8.13,21,286226,3
1,168,315,31500,7.78,21,286226,1
1,175,957,95700,23.65,41,286284,4
1,183,893,89300,22.07,43,286214,3
1,186,715,71500,17.67,43,286214,2
1,187,295,29500,7.29,43,286214,1
1,188,152,15200,3.76,21,286226,4
1,196,1109,110900,27.4,43,286214,4
1,199,94,9400,2.32,55,286226,4
1,203,39,3900,0.96,55,286226,3
1,206,31,3100,0.77,55,286226,1
1,211,32,3200,0.79,55,286226,2
1,215,55,5500,1.36,43,2519931,3
1,217,590,59000,14.58,43,2519931,1
1,218,180,18000,4.45,43,2519931,2
1,224,76,7600,1.88,41,286305,3
1,225,22,2200,0.54,41,286305,4
1,227,107,10700,2.64,41,286305,2
1,228,99,9900,2.45,41,286305,1
1,232,40,4000,0.99,43,2519931,4
1,234,925,92500,22.86,91,2519931,1
1,236,13,1300,0.32,91,286296,1
1,237,9,900,0.22,91,286226,1
1,242,92,9200,2.27,41,286225,2
1,245,175,17500,4.32,41,286225,3
1,246,24,2400,0.59,41,286225,1
1,249,23,2300,0.57,91,2519931,2
1,250,413,41300,10.21,41,286225,4
1,253,85,8500,2.1,43,286225,1
1,256,423,42300,10.45,41,286229,4
1,257,489,48900,12.08,43,286225,3
1,258,241,24100,5.96,43,286225,2
1,263,230,23000,5.68,41,286229,3
1,264,1155,115500,28.54,43,286225,4
1,265,96,9600,2.37,41,286229,2
1,266,84,8400,2.08,20,286225,4
1,267,99,9900,2.45,20,286225,3
1,269,80,8000,1.98,20,286225,2
1,271,50,5000,1.24,20,286225,1
1,272,6,600,0.15,91,2519931,3
1,277,25,2500,0.62,33,286229,4
1,284,255,25500,6.3,43,286229,2
1,285,37,3700,0.91,20,286229,4
1,287,931,93100,23.01,43,286212,3
1,288,810,81000,20.02,43,286212,2
1,289,67,6700,1.66,43,286229,1
1,290,646,64600,15.96,43,286229,3
1,291,329,32900,8.13,41,286296,3
1,292,16,1600,0.4,33,286229,3
1,296,3,300,0.07,19,286229,1
1,297,3,300,0.07,19,286229,2
